final_video_id,first_level_category_id,first_level_category_name,first_level_category_prob,second_level_category_id,second_level_category_name,second_level_category_prob,third_level_category_id,third_level_category_name,third_level_category_prob,fourth_level_category_id,fourth_level_category_name,fourth_level_category_prob
0,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
1,1,Asset,1.0,9.0,婚礼现场,1.0,0,,0.0,0,,0.0
2,1,Asset,1.0,11.0,户外旅行,1.0,0,,0.0,0,,0.0
3,1,Asset,1.0,10.0,家居装修,1.0,0,,0.0,0,,0.0
4,1,Asset,1.0,18.0,电竞比赛,1.0,0,,0.0,0,,0.0
5,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
6,1,Asset,1.0,14.0,校园生活,1.0,0,,0.0,0,,0.0
7,1,Asset,1.0,7.0,咖啡文化,1.0,0,,0.0,0,,0.0
8,1,Asset,1.0,10.0,家居装修,1.0,0,,0.0,0,,0.0
9,1,Asset,1.0,6.0,古风汉服,1.0,0,,0.0,0,,0.0
10,1,Asset,1.0,15.0,民俗纪实,1.0,0,,0.0,0,,0.0
11,1,Asset,1.0,23.0,美食探店,1.0,0,,0.0,0,,0.0
12,1,Asset,1.0,19.0,科技测评,1.0,0,,0.0,0,,0.0
13,1,Asset,1.0,7.0,咖啡文化,1.0,0,,0.0,0,,0.0
14,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
15,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
16,1,Asset,1.0,19.0,科技测评,1.0,0,,0.0,0,,0.0
17,1,Asset,1.0,8.0,城市街拍,1.0,0,,0.0,0,,0.0
18,1,Asset,1.0,10.0,家居装修,1.0,0,,0.0,0,,0.0
19,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
20,1,Asset,1.0,28.0,音乐现场,1.0,0,,0.0,0,,0.0
21,1,Asset,1.0,8.0,城市街拍,1.0,0,,0.0,0,,0.0
22,1,Asset,1.0,7.0,咖啡文化,1.0,0,,0.0,0,,0.0
23,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
24,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
25,1,Asset,1.0,6.0,古风汉服,1.0,0,,0.0,0,,0.0
26,1,Asset,1.0,28.0,音乐现场,1.0,0,,0.0,0,,0.0
27,1,Asset,1.0,28.0,音乐现场,1.0,0,,0.0,0,,0.0
28,1,Asset,1.0,26.0,萌宠日常,1.0,0,,0.0,0,,0.0
29,1,Asset,1.0,8.0,城市街拍,1.0,0,,0.0,0,,0.0
30,1,Asset,1.0,23.0,美食探店,1.0,0,,0.0,0,,0.0
31,1,Asset,1.0,26.0,萌宠日常,1.0,0,,0.0,0,,0.0
32,1,Asset,1.0,28.0,音乐现场,1.0,0,,0.0,0,,0.0
33,1,Asset,1.0,7.0,咖啡文化,1.0,0,,0.0,0,,0.0
34,1,Asset,1.0,8.0,城市街拍,1.0,0,,0.0,0,,0.0
35,1,Asset,1.0,15.0,民俗纪实,1.0,0,,0.0,0,,0.0
36,1,Asset,1.0,18.0,电竞比赛,1.0,0,,0.0,0,,0.0
37,1,Asset,1.0,7.0,咖啡文化,1.0,0,,0.0,0,,0.0
38,1,Asset,1.0,19.0,科技测评,1.0,0,,0.0,0,,0.0
39,1,Asset,1.0,14.0,校园生活,1.0,0,,0.0,0,,0.0
40,1,Asset,1.0,6.0,古风汉服,1.0,0,,0.0,0,,0.0
41,1,Asset,1.0,11.0,户外旅行,1.0,0,,0.0,0,,0.0
42,1,Asset,1.0,10.0,家居装修,1.0,0,,0.0,0,,0.0
43,1,Asset,1.0,18.0,电竞比赛,1.0,0,,0.0,0,,0.0
44,1,Asset,1.0,18.0,电竞比赛,1.0,0,,0.0,0,,0.0
45,1,Asset,1.0,11.0,户外旅行,1.0,0,,0.0,0,,0.0
46,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
47,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
48,1,Asset,1.0,23.0,美食探店,1.0,0,,0.0,0,,0.0
49,1,Asset,1.0,18.0,电竞比赛,1.0,0,,0.0,0,,0.0
50,1,Asset,1.0,28.0,音乐现场,1.0,0,,0.0,0,,0.0
51,1,Asset,1.0,6.0,古风汉服,1.0,0,,0.0,0,,0.0
52,1,Asset,1.0,15.0,民俗纪实,1.0,0,,0.0,0,,0.0
53,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
54,1,Asset,1.0,26.0,萌宠日常,1.0,0,,0.0,0,,0.0
55,1,Asset,1.0,19.0,科技测评,1.0,0,,0.0,0,,0.0
56,1,Asset,1.0,6.0,古风汉服,1.0,0,,0.0,0,,0.0
57,1,Asset,1.0,15.0,民俗纪实,1.0,0,,0.0,0,,0.0
58,1,Asset,1.0,26.0,萌宠日常,1.0,0,,0.0,0,,0.0
59,1,Asset,1.0,23.0,美食探店,1.0,0,,0.0,0,,0.0
60,1,Asset,1.0,9.0,婚礼现场,1.0,0,,0.0,0,,0.0
61,1,Asset,1.0,14.0,校园生活,1.0,0,,0.0,0,,0.0
62,1,Asset,1.0,11.0,户外旅行,1.0,0,,0.0,0,,0.0
63,1,Asset,1.0,23.0,美食探店,1.0,0,,0.0,0,,0.0
64,1,Asset,1.0,10.0,家居装修,1.0,0,,0.0,0,,0.0
65,1,Asset,1.0,19.0,科技测评,1.0,0,,0.0,0,,0.0
66,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
67,1,Asset,1.0,9.0,婚礼现场,1.0,0,,0.0,0,,0.0
68,1,Asset,1.0,26.0,萌宠日常,1.0,0,,0.0,0,,0.0
69,1,Asset,1.0,1.0,二次元漫展,1.0,0,,0.0,0,,0.0
70,1,Asset,1.0,14.0,校园生活,1.0,0,,0.0,0,,0.0
71,1,Asset,1.0,10.0,家居装修,1.0,0,,0.0,0,,0.0
72,1,Asset,1.0,11.0,户外旅行,1.0,0,,0.0,0,,0.0
73,1,Asset,1.0,23.0,美食探店,1.0,0,,0.0,0,,0.0
74,1,Asset,1.0,18.0,电竞比赛,1.0,0,,0.0,0,,0.0
75,1,Asset,1.0,7.0,咖啡文化,1.0,0,,0.0,0,,0.0
76,1,Asset,1.0,18.0,电竞比赛,1.0,0,,0.0,0,,0.0
